ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,CANDIDATE_SEX,CANDIDATE_AGE,CANDIDATE_CATEGORY,PARTY,VOTES
S10,Karnataka,1,Nippani,JOLLE SHASHIKALA ANNASAHEB,F,49,GEN,BJP,87006
S10,Karnataka,1,Nippani,KAKASO PANDURANG PATIL,M,63,GEN,INC,78500
S10,Karnataka,1,Nippani,KAMAT RAMESH ISHWAR,M,53,SC,BSP,2476
S10,Karnataka,1,Nippani,ROHINI SHRIMANT DIXIT,F,35,GEN,AIMEP,1353
S10,Karnataka,1,Nippani,SHARAD RAMAGOWDA PATIL,M,46,GEN,IND,525
S10,Karnataka,1,Nippani,JAYARAM PARASHARAM MIRAJAKARKAKA,M,58,GEN,IND,270
S10,Karnataka,1,Nippani,SAMBHAJI BAPUSO THORAVAT,M,43,GEN,IND,266
S10,Karnataka,1,Nippani,VIJAYLAKSHMI APPASAHEB KURANE,F,33,SC,BRPP,165
S10,Karnataka,1,Nippani,SACHIN KALLAPPA MADHALE,M,30,SC,BMUP,133
S10,Karnataka,1,Nippani,ANIL SHIVAJI KAMATE,M,43,GEN,IND,110
S10,Karnataka,2,Chikkodi-Sadalga,GANESH PRAKASH HUKKERI,M,40,GEN,INC,91467
S10,Karnataka,2,Chikkodi-Sadalga,ANNASAHEB SHANKAR JOLLE,M,55,GEN,BJP,80898
S10,Karnataka,2,Chikkodi-Sadalga,SADASHIVAPPA MARUTI WALKE,M,64,GEN,BSP,2935
S10,Karnataka,2,Chikkodi-Sadalga,ANNAPURNA CHANNAPPA ASURKAR,F,42,GEN,AIMEP,794
S10,Karnataka,2,Chikkodi-Sadalga,SOMANATH GANGAYYA HIREMATH,M,30,GEN,IND,734
S10,Karnataka,2,Chikkodi-Sadalga,SUNIL ANNASAB K.KHOT,M,41,GEN,IND,282
S10,Karnataka,2,Chikkodi-Sadalga,MOHAN GURAPPA MOTANNAVAR,M,43,SC,IND,244
S10,Karnataka,2,Chikkodi-Sadalga,APPASAHEB SHRIPATI KURANE,M,35,SC,BRPP,198
S10,Karnataka,2,Chikkodi-Sadalga,DADA VASANT PATIL,M,39,GEN,IND,147
S10,Karnataka,2,Chikkodi-Sadalga,JITENDRA SUBHASH NERLE,M,43,GEN,IND,139
S10,Karnataka,3,Athani,MAHESH IRANAGOUDA KUMATHALLI,M,56,GEN,INC,82094
S10,Karnataka,3,Athani,LAXMAN SANGAPPA SAVADI,M,58,GEN,BJP,79763
S10,Karnataka,3,Athani,GIRISH KEDAREPPA BUTALI,M,51,GEN,JD(S),3381
S10,Karnataka,3,Athani,MAHAVEER DASHARATH MANOJI,M,45,SC,AIMEP,912
S10,Karnataka,3,Athani,RAJESH BABU SHINGE,M,30,SC,IND,880
S10,Karnataka,3,Athani,NINGAPPA SUBHAS GURAV,M,35,GEN,PPRP,827
S10,Karnataka,3,Athani,SHIVAMALLAPPA BASAPPA KULALI,M,38,GEN,IND,725
S10,Karnataka,3,Athani,ARJUN BHAGAVANT PATIL,M,48,GEN,IND,541
S10,Karnataka,3,Athani,MEHABUB ASLAM SHAIKH,M,30,GEN,BMUP,210
S10,Karnataka,3,Athani,VITTHAL NINGAPPA PUJARI,M,30,GEN,NAC,207
S10,Karnataka,3,Athani,BASAPPA KALLAPPA HANCHINAL,M,66,GEN,HJP,183
S10,Karnataka,4,Kagwad,SHRIMANT BALASAHEB PATIL,M,63,GEN,INC,83060
S10,Karnataka,4,Kagwad,BHARAMAGOUDA ALAGOUDA KAGE,M,59,GEN,BJP,50118
S10,Karnataka,4,Kagwad,KALLAPPA PARIS MAGENNAVAR,M,70,GEN,JD(S),7337
S10,Karnataka,4,Kagwad,DIVAKAR RAMACHANDRA POTADAR,M,46,GEN,SJPA,1004
S10,Karnataka,4,Kagwad,GANAPATI BHUTALI MOLEKAR,M,34,SC,IND,784
S10,Karnataka,4,Kagwad,MURAGEPPA NINGAPPA DEVAREDDI,M,45,GEN,IND,580
S10,Karnataka,4,Kagwad,BHIMAGOUDA SHANKAR KHOT,M,35,GEN,AIMEP,533
S10,Karnataka,4,Kagwad,SANJAY HONAKHANDE,M,39,SC,JANSAMAP,305
S10,Karnataka,4,Kagwad,SAROJANI-AKKA M ARAGE,F,40,GEN,JAHP,279
S10,Karnataka,4,Kagwad,BAHUSAB ASHOK NAIK URF DAVALE,M,37,GEN,INCP,257
S10,Karnataka,4,Kagwad,BALASAHEB RAVSAHEB RAO,M,34,GEN,AAAP,243
S10,Karnataka,4,Kagwad,SACHIN ALAGURE,M,34,GEN,BRPP,210
S10,Karnataka,4,Kagwad,NASIRKHAN GAJIMAMMAD PATHAN,M,57,GEN,RPI(A),150
S10,Karnataka,4,Kagwad,DR. RIZWAN BALEKUNDARI,M,34,GEN,BMUP,121
S10,Karnataka,5,Kudachi (SC),P.RAJEEV,M,40,SC,BJP,67781
S10,Karnataka,5,Kudachi (SC),AMIT SHAMA GHATAGE,M,27,SC,INC,52773
S10,Karnataka,5,Kudachi (SC),SURESH GURAPPA TALAWAR,M,45,SC,IND,6731
S10,Karnataka,5,Kudachi (SC),AIHOLE RAJENDRA ANNAPPA,M,45,SC,JD(S),1532
S10,Karnataka,5,Kudachi (SC),SANGEETA GAJENDRA KAMBLE,F,47,SC,IND,1105
S10,Karnataka,5,Kudachi (SC),SANJEEV BASAPPA KAMBALE,M,41,SC,IND,1045
S10,Karnataka,5,Kudachi (SC),RAMAPPA BHARAMAPPA BHAJANTRI,M,42,SC,IND,1004
S10,Karnataka,5,Kudachi (SC),RODKAR YOGESH PANDURANG,M,39,SC,IND,787
S10,Karnataka,5,Kudachi (SC),ASHOK TAMMANNA GUPTE,M,56,SC,IND,680
S10,Karnataka,5,Kudachi (SC),SADASHIV C. MANG,M,40,SC,ASP,634
S10,Karnataka,5,Kudachi (SC),AJJAPPAGOL KIRAN MAHADEV,M,26,SC,JAHP,368
S10,Karnataka,5,Kudachi (SC),PARSHURAM V. SHINDE,M,47,SC,RPI(A),298
S10,Karnataka,5,Kudachi (SC),ANNAPPA S. AIGALI,M,51,SC,INCP,297
S10,Karnataka,5,Kudachi (SC),K. NARASAPPA,M,32,SC,IND,246
S10,Karnataka,5,Kudachi (SC),THAVARASING R. RATHOD,M,53,SC,SHS,227
S10,Karnataka,5,Kudachi (SC),ASODE JANGLU SATTYAPPA,M,36,SC,IND,218
S10,Karnataka,5,Kudachi (SC),DR. JASMIN SALEEM ALASE,F,44,SC,IND,201
S10,Karnataka,5,Kudachi (SC),RAJU APPASAHEB NIPPANIKAR,M,53,SC,BRPP,194
S10,Karnataka,5,Kudachi (SC),SURENDRA UGARE,M,42,SC,BMUP,184
S10,Karnataka,6,Raybag (SC),AIHOLE DURYODHAN MAHALINGAPPA,M,61,SC,BJP,67502
S10,Karnataka,6,Raybag (SC),PRADEEPKUMAR RAMU MALAGE,M,49,SC,INC,50954
S10,Karnataka,6,Raybag (SC),MAHAVEER MOHITE,M,52,SC,IND,24627
S10,Karnataka,6,Raybag (SC),DR.RAJEEV KAMBLE,M,46,SC,BSP,1724
S10,Karnataka,6,Raybag (SC),RAMANNA DATTU PATROT,M,63,SC,IND,677
S10,Karnataka,6,Raybag (SC),ASHOK NILAPPA DANDINNAVAR,M,53,SC,IND,642
S10,Karnataka,6,Raybag (SC),NILAPPA KASHAPPA GEBADYAGOL,M,72,SC,NCP,617
S10,Karnataka,6,Raybag (SC),PRABHAKAR H GAGGARI,M,33,SC,IND,503
S10,Karnataka,6,Raybag (SC),TYAGARAJ P. KADAM,M,44,SC,KRRS,366
S10,Karnataka,6,Raybag (SC),SANADI BHIMASHEN,M,44,SC,IND,349
S10,Karnataka,6,Raybag (SC),KEMPAYYA MALLAYYA HIREMATH,M,47,SC,IND,339
S10,Karnataka,6,Raybag (SC),ANANTKUMAR Y. BYAKUD,M,33,SC,IND,271
S10,Karnataka,6,Raybag (SC),HOSAMANI SURESH B,M,48,SC,SHS,234
S10,Karnataka,6,Raybag (SC),PRAKASH KALLAPPA MAISHALE,M,54,SC,BPKP,217
S10,Karnataka,6,Raybag (SC),MANJULA VASANT ASODE,F,34,SC,RPI(A),193
S10,Karnataka,7,Hukkeri,UMESH VISHWANATH KATTI,M,57,GEN,BJP,83588
S10,Karnataka,7,Hukkeri,APPAYYAGOUDA BASAGOUDA PATIL,M,65,GEN,INC,68203
S10,Karnataka,7,Hukkeri,MALLIKARJUN BABAGOUD PATIL,M,63,GEN,JD(S),1426
S10,Karnataka,7,Hukkeri,SANJEEV B MAGADUM,M,36,GEN,IND,1064
S10,Karnataka,7,Hukkeri,SUBASH BABU KASARAKAR,M,34,GEN,SHS,413
S10,Karnataka,7,Hukkeri,SHAHJAHAN ABDULKHADAR BHADAGAVI,M,40,GEN,IND,360
S10,Karnataka,7,Hukkeri,RAMAPPA MALLAPPA KURABETI,M,56,GEN,IND,261
S10,Karnataka,7,Hukkeri,IMAMHUSAIN PEERZADE,M,37,GEN,IND,236
S10,Karnataka,7,Hukkeri,RAMACHANDRA GURUSIDDAPPA KAMMAR,M,60,GEN,NCP,214
S10,Karnataka,7,Hukkeri,H.GIRIRAJA,M,58,ST,IND,171
S10,Karnataka,7,Hukkeri,NAZIRAHMED DASTGEERSAB MULLA,M,40,GEN,IND,121
S10,Karnataka,8,Arabhavi,BALACHANDRA LAKSHMANARAO JARAKIHOLI,M,51,ST,BJP,96144
S10,Karnataka,8,Arabhavi,BHIMAPPA GUNDAPPA GADAD,M,58,GEN,JD(S),48816
S10,Karnataka,8,Arabhavi,ARVIND MAHADEVRAO DALWAI,M,56,GEN,INC,23253
S10,Karnataka,8,Arabhavi,CHUNAPPA UDDAPPA PUJERI,M,34,GEN,IND,2962
S10,Karnataka,8,Arabhavi,ASHOK P HANAJI,M,37,SC,SJPA,1745
S10,Karnataka,8,Arabhavi,BHIMAPPA SIDDAPPA NAIK,M,44,GEN,IND,1161
S10,Karnataka,8,Arabhavi,SHANKARGOUDA NINGANNGOUDA PADESUR,M,32,GEN,AIMEP,830
S10,Karnataka,8,Arabhavi,LAXMAN BASAPPA TOLI,M,30,GEN,SHS,627
S10,Karnataka,9,Gokak,JARKIHOLI RAMESH LAXMANRAO,M,58,ST,INC,90249
S10,Karnataka,9,Gokak,ASHOK NINGAYYASWAMI PUJARI,M,60,GEN,BJP,75969
S10,Karnataka,9,Gokak,KAREPPA LAKKAPPA TALAWAR,M,60,ST,JD(S),1553
S10,Karnataka,9,Gokak,PARAVIN JABBAR TAMBULE,F,40,GEN,AIMEP,1477
S10,Karnataka,9,Gokak,SHRINATH BALAPPA KAULAGI,M,36,GEN,IND,923
S10,Karnataka,9,Gokak,SURESH BABURAO PATIL,M,68,GEN,IND,656
S10,Karnataka,9,Gokak,RIYAZAHMED ABDULKHADAR PATAD,M,36,GEN,IND,360
S10,Karnataka,9,Gokak,HIDAKAL IMAMASAB HUSENASAB,M,54,GEN,IND,357
S10,Karnataka,9,Gokak,BABU MITTUSAB PHANIBAND,M,59,GEN,IND,315
S10,Karnataka,10,Yemkanmardi (ST),SATISH. L. JARKIHOLI,M,56,ST,INC,73512
S10,Karnataka,10,Yemkanmardi (ST),ASTAGI MARUTI MALLAPPA,M,39,ST,BJP,70662
S10,Karnataka,10,Yemkanmardi (ST),SHANKAR BHARAMA GASTI,M,61,ST,JD(S),1837
S10,Karnataka,10,Yemkanmardi (ST),DR: YALGUND BASANAIK NAIK,M,44,ST,KJP,1299
S10,Karnataka,10,Yemkanmardi (ST),BHIMASHI SIDDAPPA NAIK,M,44,ST,IND,520
S10,Karnataka,11,Belgaum Uttar,ANIL S BENAKE,M,53,GEN,BJP,79060
