ST_NAME,AC_NAME,AC_NO,CANDIDATE,PARTY,VOTES
Andhra Pradesh,Achanta,56,ALURI CHINNARAO,BSP,1543
Andhra Pradesh,Achanta,56,CHERUKUVADA SRI RANGANADHA RAJU,YSRCP,58848
Andhra Pradesh,Achanta,56,NEKKANTI VENKATA SATYANARAYANA (SATISH),INC,1872
Andhra Pradesh,Achanta,56,SATYANARAYANA PITHANI,TDP,85402
Andhra Pradesh,Achanta,56,ALLADA SURYA BHASKARA RAO,OTH,275
Andhra Pradesh,Achanta,56,KAKI SYAM KUMAR,OTH,215
Andhra Pradesh,Achanta,56,VELAGALA SREENIVASA REDDY,OTH,270
Andhra Pradesh,Achanta,56,RAMOJU PURNA CHANDRA SEKHAR,IND,150
Andhra Pradesh,Achanta,56,SIKILE RATNARAJU,IND,293
Andhra Pradesh,Achanta,56,NOTA,NOTA,1673
Andhra Pradesh,Addanki,105,KISHORE BABU ADUSUMALLI,INC,4072
Andhra Pradesh,Addanki,105,GOTTIPATI  RAVI KUMAR,TDP,116418
Andhra Pradesh,Addanki,105,CHINNA HANIMIREDDY PANEM,YSRCP,91528
Andhra Pradesh,Addanki,105,JOSEPH MANDA,BSP,448
Andhra Pradesh,Addanki,105,KANDULA YAKOBU,OTH,83
Andhra Pradesh,Addanki,105,GUNTUPALLI GOPI,OTH,49
Andhra Pradesh,Addanki,105,GUMMA SADASIVARAO,OTH,51
Andhra Pradesh,Addanki,105,PULIPATI  HEBELU,OTH,114
Andhra Pradesh,Addanki,105,MEESALA SAMRAJYAM,OTH,110
Andhra Pradesh,Addanki,105,RAMBABU BACHINA,OTH,448
Andhra Pradesh,Addanki,105,ATLA CHINA VENKATA REDDY,IND,39
Andhra Pradesh,Addanki,105,DUPATI YESOBU,IND,56
Andhra Pradesh,Addanki,105,PRABHUDASU SURABHI,IND,69
Andhra Pradesh,Addanki,105,MANDA SRINIVASA RAO,IND,251
Andhra Pradesh,Addanki,105,VENKATA CHARI GOLLAPATI,IND,182
Andhra Pradesh,Addanki,105,NOTA,NOTA,1600
Andhra Pradesh,Adoni,146,ASIYA BANU AMLIVALE,BSP,2152
Andhra Pradesh,Adoni,146,DR. PARTHA SARATHI VALMIKI,BJP,89929
Andhra Pradesh,Adoni,146,G. RAMESH YADAV,INC,7622
Andhra Pradesh,Adoni,146,Y. SAI PRASAD REDDY,YSRCP,71765
Andhra Pradesh,Adoni,146,K. RANGANNA,OTH,471
Andhra Pradesh,Adoni,146,URUKUNDU VADDE,IND,140
Andhra Pradesh,Adoni,146,G JAYANNA,IND,274
Andhra Pradesh,Adoni,146,K. DASTAGIRI NAIDU,IND,727
Andhra Pradesh,Adoni,146,B. NAGARAJ,IND,268
Andhra Pradesh,Adoni,146,G. YUVARAJ,IND,1170
Andhra Pradesh,Adoni,146,NOTA,NOTA,1615
Andhra Pradesh,Allagadda,134,AKHILA PRIYA BHUMA,TDP,98881
Andhra Pradesh,Allagadda,134,BARAGODLA HUSSAIN BASHA,INC,6100
Andhra Pradesh,Allagadda,134,BRIJENDRA REDDY GANGULA (NANI),YSRCP,86844
Andhra Pradesh,Allagadda,134,VARIKUTI HANNAMMA,BSP,1030
Andhra Pradesh,Allagadda,134,EPANAGANDLA SREENIVASULU YADAV,SP,164
Andhra Pradesh,Allagadda,134,M.KRISHNA REDDY,OTH,130
Andhra Pradesh,Allagadda,134,CHEEMALA RAMESH,OTH,113
Andhra Pradesh,Allagadda,134,CHENNAIAH MADARA,OTH,108
Andhra Pradesh,Allagadda,134,DARA SHEKHAR,OTH,119
Andhra Pradesh,Allagadda,134,NERELLA OBULESU,RSP,218
Andhra Pradesh,Allagadda,134,C. VENKATA RAMANA,OTH,93
Andhra Pradesh,Allagadda,134,ANISETTY BALA PEDDAIAH,IND,111
Andhra Pradesh,Allagadda,134,ARLA PADMAJA,IND,115
Andhra Pradesh,Allagadda,134,KOTTAPU PEDDI REDDY,IND,272
Andhra Pradesh,Allagadda,134,GANGULA PRAHLADA REDDY,IND,322
Andhra Pradesh,Allagadda,134,K. CHANDRA SEKHARA REDDY,IND,657
Andhra Pradesh,Allagadda,134,JAJJARI MARIYADAS,IND,856
Andhra Pradesh,Allagadda,134,T.A. NARASIMHA RAO,IND,337
Andhra Pradesh,Allagadda,134,NOTA,NOTA,1582
Andhra Pradesh,Alur,147,ARAKATLA NAVEEN KISHOR,INC,5772
Andhra Pradesh,Alur,147,H. RAMALINGAIAH,BSP,1369
Andhra Pradesh,Alur,147,B. VIRUPAKSHI,YSRCP,100264
Andhra Pradesh,Alur,147,B. VEERABHADRA GOWD,TDP,97433
Andhra Pradesh,Alur,147,N  MOHAN PRASAD,OTH,674
Andhra Pradesh,Alur,147,SHAIK. SHAIKSHA VALI,OTH,276
Andhra Pradesh,Alur,147,M. AMANULLA,IND,227
